experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5369,0.4911
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,15,0,0,15,0,0,0.1333,0.8667,-0.7333,,13,2,5,t1_e9,0.6,0.4931,0.4562,0.495
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,15,0,0,15,0,0,0.2667,0.7333,-0.4667,1.0,11,4,5,t1_e9,0.2708333333333333,0.4902,0.4939,0.49
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,15,0,0,15,0,0,0.2667,0.7333,-0.4667,0.75,11,4,5,t1_e9,0.26967741935483874,0.4867,0.4913,0.4865
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,15,0,0,15,0,0,0.1333,0.8667,-0.7333,0.5,13,2,5,t1_e9,0.268944099378882,0.482,0.4261,0.485
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5411,0.4908
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,15,0,0,15,0,0,1.0,1.0,1.0,,0,15,5,t1_e9,1.0,0.5064,0.6514,0.4988
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,15,0,0,15,0,0,1.0,1.0,1.0,0.0,0,15,5,t1_e9,1.0,0.5191,0.671,0.5112
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,15,0,0,15,0,0,1.0,1.0,1.0,0.0,0,15,5,t1_e9,1.0,0.5316,0.6803,0.5237
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,15,285,15,0,0,15,0,0,1.0,1.0,1.0,0.2,0,15,5,t1_e9,1.0,0.5433,0.7484,0.5326
main,influenza_a,high_interaction,main_baseline_neutral,none,3,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4917,0.5385,0.4892
main,influenza_a,high_interaction,main_baseline_neutral,none,3,2,300,15,285,15,0,0,15,0,0,0.2,0.8,-0.6,,12,3,5,t1_e9,0.6,0.4918,0.4729,0.4928
main,influenza_a,high_interaction,main_baseline_neutral,none,3,3,300,15,285,15,0,0,15,0,0,0.0667,0.9333,-0.8667,1.3333,14,1,5,t1_e9,0.31666666666666665,0.4874,0.4574,0.4889
main,influenza_a,high_interaction,main_baseline_neutral,none,3,4,300,15,285,15,0,0,15,0,0,0.1333,0.8667,-0.7333,0.75,13,2,5,t1_e9,0.2154838709677419,0.4825,0.4692,0.4832
main,influenza_a,high_interaction,main_baseline_neutral,none,3,5,300,15,285,15,0,0,15,0,0,0.1333,0.8667,-0.7333,0.5455,13,2,5,t1_e9,0.1919254658385093,0.4774,0.4375,0.4795
