experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5387,0.491
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,12,6,2,4,0,3,0.3333,0.5455,-0.0909,0.0,6,5,5,t1_e9,0.6,0.4953,0.4963,0.4952
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,15,7,7,1,0,0,0.3333,0.6667,-0.3333,1.8571,10,5,4,t1_e11,0.36153846153846153,0.4936,0.5249,0.4919
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,14,5,8,1,0,1,0.5333,0.5,0.0,1.2857,7,7,3,t1_e11,0.2064690026954178,0.4921,0.5594,0.4885
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,14,4,9,1,0,1,0.1333,0.8333,-0.6667,0.0,10,2,3,t2_e13,0.29789272030651337,0.4877,0.4369,0.4904
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,300,15,285,15,4,8,3,0,0,0.4667,0.5333,-0.0667,0.8462,8,7,3,t2_e13,0.22605555555555554,0.4857,0.5444,0.4826
main,influenza_a,high_interaction,main_baseline_neutral,none,1,7,300,15,285,14,5,8,1,0,1,0.5333,0.5,0.0,1.3077,7,7,3,t2_e13,0.2920245398773006,0.4842,0.5643,0.48
main,influenza_a,high_interaction,main_baseline_neutral,none,1,8,300,15,285,13,2,9,2,0,2,1.0,1.0,1.0,1.6923,0,13,3,t2_e13,0.31914616686190284,0.4875,0.6706,0.4779
main,influenza_a,high_interaction,main_baseline_neutral,none,1,9,300,15,285,15,5,10,0,0,0,0.8667,0.8667,0.7333,2.0769,2,13,3,t2_e13,0.43860678037893225,0.4921,0.5773,0.4876
main,influenza_a,high_interaction,main_baseline_neutral,none,1,10,300,15,285,15,5,9,1,0,0,0.9333,0.9333,0.8667,0.9231,1,14,3,t2_e13,0.48962093862815886,0.4967,0.7211,0.4849
main,influenza_a,high_interaction,main_baseline_neutral,none,1,11,300,15,285,15,3,12,0,0,0,1.0,1.0,1.0,1.3846,0,15,3,t2_e13,0.5361811391223156,0.5028,0.6874,0.4931
main,influenza_a,high_interaction,main_baseline_neutral,none,1,12,300,15,285,15,6,8,1,0,0,1.0,1.0,1.0,0.8462,0,15,3,t2_e13,0.5937420561170018,0.5089,0.7711,0.4951
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5429,0.4907
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,15,8,4,3,0,0,1.0,1.0,1.0,,0,15,5,t1_e9,1.0,0.5064,0.6517,0.4988
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,15,5,9,1,0,0,1.0,1.0,1.0,1.4,0,15,1,t1_e11,1.0,0.5192,0.6642,0.5116
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,13,1,6,6,0,2,1.0,1.0,1.0,1.3333,0,13,1,t1_e11,1.0,0.5315,0.6883,0.5233
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,15,285,14,1,8,5,0,1,0.9333,1.0,1.0,1.375,0,14,1,t1_e11,1.0,0.5432,0.7138,0.5342
main,influenza_a,high_interaction,main_baseline_neutral,none,3,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4917,0.5384,0.4892
